GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grapheur,default,jjtree,6,0,0,0,0,0,2,0,2,0
Grapheur,default,javacc,6,0,0,0,0,0,2,0,2,0
Grapheur,default,jjdoc,6,0,0,0,0,0,2,0,2,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationParametrique,157,0,0,0,42,0,4,0,4,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationPolaire,95,0,0,0,27,0,4,0,4,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationParametrique.new ActionListener() {...},29,0,0,0,10,0,2,0,2,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationParametrique.new ActionListener() {...},29,0,0,0,10,0,2,0,2,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationCartesienne,98,0,0,0,28,0,4,0,4,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationPolaire.new ActionListener() {...},29,0,0,0,10,0,2,0,2,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquationCartesienne.new ActionListener() {...},29,0,0,0,10,0,2,0,2,0
Grapheur,fr.orsys.grapheur.graphe.presentation.equation,PanneauEquation,7,0,0,0,3,0,2,0,2,0
Grapheur,org.javacc.parser,Main,529,0,24,0,0,0,17,0,5,0
Grapheur,org.javacc.parser,JavaCCParserTokenManager,9695,0,1285,0,0,0,891,0,49,0
Grapheur,org.javacc.parser,ROneOrMore,47,0,0,0,0,0,3,0,3,0
Grapheur,org.javacc.parser,Phase3Data,9,0,0,0,0,0,1,0,1,0
Grapheur,org.javacc.parser,Semanticize.EmptyChecker,46,0,14,0,0,0,10,0,3,0
Grapheur,org.javacc.parser,TokenProduction,48,0,0,0,0,0,6,0,6,0
Grapheur,org.javacc.parser,Semanticize.ProductionDefinedChecker,45,0,6,0,0,0,6,0,3,0
Grapheur,org.javacc.parser,BNFProduction,18,0,0,0,0,0,4,0,4,0
Grapheur,org.javacc.parser,Options,818,0,84,0,0,0,88,0,46,0
Grapheur,org.javacc.parser,JavaCharStream,1317,0,99,0,0,0,97,0,39,0
Grapheur,org.javacc.parser,ZeroOrOne,49,0,2,0,0,0,4,0,3,0
Grapheur,org.javacc.parser,RJustName,22,0,0,0,0,0,3,0,3,0
Grapheur,org.javacc.parser,RegularExpression,40,0,0,0,0,0,3,0,3,0
Grapheur,org.javacc.parser,RZeroOrOne,31,0,0,0,0,0,2,0,2,0
Grapheur,org.javacc.parser,RZeroOrMore,50,0,0,0,0,0,3,0,3,0
Grapheur,org.javacc.parser,ZeroOrMore,50,0,2,0,0,0,4,0,3,0
Grapheur,org.javacc.parser,Sequence,82,0,4,0,0,0,5,0,3,0
Grapheur,org.javacc.parser,SingleCharacter,23,0,0,0,0,0,6,0,6,0
Grapheur,org.javacc.parser,JavaCCParser.JJCalls,3,0,0,0,0,0,1,0,1,0
Grapheur,org.javacc.parser,Container,3,0,0,0,0,0,1,0,1,0
Grapheur,org.javacc.parser,RRepetitionRange,72,0,8,0,0,0,6,0,2,0
Grapheur,org.javacc.parser,Token,40,0,2,0,0,0,8,0,7,0
Grapheur,org.javacc.parser,OtherFilesGen,381,0,38,0,0,0,22,0,3,0
